######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
  382.059998   0.0000000D+00
  382.070007   0.0000000D+00
  382.079987   0.0000000D+00
  382.089996   0.0000000D+00
  382.100006   0.0000000D+00
  382.109985   0.0000000D+00
  382.119995   0.0000000D+00
  382.130005   0.0000000D+00
  382.140015   0.0000000D+00
  382.149994   0.0000000D+00
  382.160004   0.0000000D+00
  382.170013   0.0000000D+00
  382.179993   0.0000000D+00
  382.190002   0.0000000D+00
  382.200012   0.0000000D+00
  382.209991   0.0000000D+00
  382.220001   0.0000000D+00
  382.230011   0.0000000D+00
  382.239990   0.0000000D+00
  382.250000   0.0000000D+00
  382.260010   0.0000000D+00
  382.269989   0.0000000D+00
  382.279999   0.0000000D+00
  382.290009   0.0000000D+00
  382.299988   0.0000000D+00
  382.309998   0.0000000D+00
  382.320007   0.0000000D+00
  382.329987   0.0000000D+00
  382.339996   0.0000000D+00
  382.350006   0.0000000D+00
  382.359985   0.0000000D+00
  382.369995   0.0000000D+00
  382.380005   0.0000000D+00
  382.390015   0.0000000D+00
  382.399994   0.0000000D+00
  382.410004   0.0000000D+00
  382.420013   0.0000000D+00
  382.429993   0.0000000D+00
  382.440002   0.0000000D+00
  382.450012   0.0000000D+00
  382.459991   0.0000000D+00
  382.470001   0.0000000D+00
  382.480011   0.0000000D+00
  382.489990   0.0000000D+00
  382.500000   0.0000000D+00
  382.510010   0.0000000D+00
  382.519989   0.0000000D+00
  382.529999   0.0000000D+00
  382.540009   0.0000000D+00
  382.549988   0.0000000D+00
  382.559998   0.0000000D+00
  382.570007   0.0000000D+00
  382.579987   0.0000000D+00
  382.589996   0.0000000D+00
  382.600006   0.0000000D+00
  382.609985   0.0000000D+00
  382.619995   0.0000000D+00
  382.630005   0.0000000D+00
  382.640015   0.0000000D+00
  382.649994   0.0000000D+00
  382.660004   0.0000000D+00
  382.670013   0.0000000D+00
  382.679993   0.0000000D+00
  382.690002   0.0000000D+00
  382.700012   0.0000000D+00
  382.709991   0.0000000D+00
  382.720001   0.0000000D+00
  382.730011   0.0000000D+00
  382.739990   0.0000000D+00
  382.750000   0.0000000D+00
  382.760010   0.0000000D+00
  382.769989   0.0000000D+00
  382.779999   0.0000000D+00
  382.790009   0.0000000D+00
  382.799988   0.0000000D+00
  382.809998   0.0000000D+00
  382.820007   0.0000000D+00
  382.829987   0.0000000D+00
  382.839996   0.0000000D+00
  382.850006   0.0000000D+00
  382.859985   0.0000000D+00
  382.869995   0.0000000D+00
  382.880005   0.0000000D+00
  382.890015   0.0000000D+00
  382.899994   0.0000000D+00
  382.910004   0.0000000D+00
  382.920013   0.0000000D+00
  382.929993   0.0000000D+00
  382.940002   0.0000000D+00
  382.950012   0.0000000D+00
  382.959991   0.0000000D+00
  382.970001   0.0000000D+00
  382.980011   0.0000000D+00
  382.989990   0.0000000D+00
  383.000000   0.0000000D+00
  383.010010   0.0000000D+00
  383.019989   0.0000000D+00
  383.029999   0.0000000D+00
  383.040009   0.0000000D+00
  383.049988   0.0000000D+00
  383.059998   0.0000000D+00
  383.070007   0.0000000D+00
  383.079987   0.0000000D+00
  383.089996   0.0000000D+00
  383.100006   0.0000000D+00
  383.109985   0.0000000D+00
  383.119995   0.0000000D+00
  383.130005   0.0000000D+00
  383.140015   0.0000000D+00
  383.149994   0.0000000D+00
  383.160004   0.0000000D+00
  383.170013   0.0000000D+00
  383.179993   0.0000000D+00
  383.190002   0.0000000D+00
  383.200012   0.0000000D+00
  383.209991   0.0000000D+00
  383.220001   0.0000000D+00
  383.230011   0.0000000D+00
  383.239990   0.0000000D+00
  383.250000   0.0000000D+00
  383.260010   0.0000000D+00
  383.269989   0.0000000D+00
  383.279999   0.0000000D+00
  383.290009   0.0000000D+00
  383.299988   0.0000000D+00
  383.309998   0.0000000D+00
  383.320007   0.0000000D+00
  383.329987   0.0000000D+00
  383.339996   0.0000000D+00
  383.350006   0.0000000D+00
  383.359985   0.0000000D+00
  383.369995   0.0000000D+00
  383.380005   0.0000000D+00
  383.390015   0.0000000D+00
  383.399994   0.0000000D+00
  383.410004   0.0000000D+00
  383.420013   0.0000000D+00
  383.429993   0.0000000D+00
  383.440002   0.0000000D+00
  383.450012   0.0000000D+00
  383.459991   0.0000000D+00
  383.470001   0.0000000D+00
  383.480011   0.0000000D+00
  383.489990   0.0000000D+00
  383.500000   0.0000000D+00
  383.510010   0.0000000D+00
  383.519989   0.0000000D+00
  383.529999   0.0000000D+00
  383.540009   0.0000000D+00
  383.549988   0.0000000D+00
  383.559998   0.0000000D+00
  383.570007   0.0000000D+00
  383.579987   0.0000000D+00
  383.589996   0.0000000D+00
  383.600006   0.0000000D+00
  383.609985   0.0000000D+00
  383.619995   0.0000000D+00
  383.630005   0.0000000D+00
  383.640015   0.0000000D+00
  383.649994   0.0000000D+00
  383.660004   0.0000000D+00
  383.670013   0.0000000D+00
  383.679993   0.0000000D+00
  383.690002   0.0000000D+00
  383.700012   0.0000000D+00
  383.709991   0.0000000D+00
  383.720001   0.0000000D+00
  383.730011   0.0000000D+00
  383.739990   0.0000000D+00
  383.750000   0.0000000D+00
  383.760010   0.0000000D+00
  383.769989   0.0000000D+00
  383.779999   0.0000000D+00
  383.790009   0.0000000D+00
  383.799988   0.0000000D+00
  383.809998   0.0000000D+00
  383.820007   0.0000000D+00
  383.829987   0.0000000D+00
  383.839996   0.0000000D+00
  383.850006   0.0000000D+00
  383.859985   0.0000000D+00
  383.869995   0.0000000D+00
  383.880005   0.0000000D+00
  383.890015   0.0000000D+00
  383.899994   0.0000000D+00
  383.910004   0.0000000D+00
  383.920013   0.0000000D+00
  383.929993   0.0000000D+00
  383.940002   0.0000000D+00
  383.950012   0.0000000D+00
  383.959991   0.0000000D+00
  383.970001   0.0000000D+00
  383.980011   0.0000000D+00
  383.989990   0.0000000D+00
  384.000000   0.0000000D+00
  384.010010   0.0000000D+00
  384.019989   0.0000000D+00
